,Unnamed: 0.1,Unnamed: 0,make,model,fuel,gear,hp,year
45929,45929,46261,Mazda,CX-30,Gasoline,Automatic,186.0,2021
45932,45932,46264,Cupra,Formentor,Gasoline,Manual,150.0,2021
45936,45936,46268,Porsche,Macan,Gasoline,Automatic,441.0,2021
45940,45940,46272,Audi,e-tron,Electric,Automatic,476.0,2021
45942,45942,46274,Porsche,Taycan,Electric,Automatic,571.0,2021
45945,45945,46277,Audi,S8,Gasoline,Automatic,700.0,2021
45946,45946,46278,Porsche,Panamera,Electric/Gasoline,Automatic,560.0,2021
45948,45948,46280,Aston,Martin DBX,Gasoline,Automatic,551.0,2021
45949,45949,46281,Ford,Fiesta,Gasoline,Manual,95.0,2021
45950,45950,46282,Ford,Focus,Gasoline,Automatic,150.0,2021
45951,45951,46283,Ford,Grand Tourneo,Diesel,Automatic,120.0,2021
45952,45952,46284,Volkswagen,Caddy,Diesel,Automatic,122.0,2021
45953,45953,46285,Volkswagen,Touareg,Electric/Gasoline,Automatic,340.0,2021
45954,45954,46286,Alfa,Romeo Giulia,Gasoline,Automatic,510.0,2021
45955,45955,46287,Audi,S6,Diesel,Automatic,349.0,2021
45956,45956,46288,BMW,M4,Gasoline,Automatic,510.0,2021
45957,45957,46289,Bentley,Flying Spur,Gasoline,Automatic,549.0,2021
45958,45958,46290,Fiat,500L,Gasoline,Manual,95.0,2021
45959,45959,46291,Abarth,595C,Gasoline,Automatic,165.0,2021
45960,45960,46292,Mercedes-Benz,C 180,Diesel,Automatic,156.0,2021
45963,45963,46295,BMW,X1,Gasoline,Automatic,192.0,2021
45964,45964,46296,Mercedes-Benz,GLA 180,Diesel,Automatic,116.0,2021
45966,45966,46298,Mercedes-Benz,CLA 250,Gasoline,Automatic,224.0,2021
45967,45967,46299,Mercedes-Benz,E 220,Diesel,Automatic,194.0,2021
45968,45968,46300,Mercedes-Benz,A 250,Gasoline,Automatic,224.0,2021
45969,45969,46301,Hyundai,Santa Fe,Electric/Gasoline,Automatic,265.0,2021
45970,45970,46302,Mercedes-Benz,SLC 300,Gasoline,Automatic,245.0,2021
45971,45971,46303,Mercedes-Benz,Sprinter,Diesel,Automatic,190.0,2021
45972,45972,46304,Volkswagen,Arteon,Diesel,Automatic,200.0,2021
45974,45974,46306,SEAT,Ateca,Gasoline,Manual,150.0,2021
45977,45977,46309,Renault,Trafic,Diesel,Manual,145.0,2021
45980,45980,46312,Opel,Corsa,Electric,Automatic,136.0,2021
45981,45981,46313,Hyundai,Ioniq,Electric,Manual,136.0,2021
45982,45982,46314,Hyundai,Tucson,Gasoline,Manual,179.0,2021
45984,45984,46316,Skoda,Karoq,Gasoline,Automatic,150.0,2021
45985,45985,46317,Ford,Tourneo Connect,Diesel,Automatic,120.0,2021
45986,45986,46318,Renault,Arkana,Gasoline,Manual,140.0,2021
45988,45988,46320,Skoda,Superb,Gasoline,Automatic,150.0,2021
45989,45989,46321,Mazda,MX-5,Gasoline,Manual,184.0,2021
45990,45990,46322,Citroen,C4,Gasoline,Automatic,155.0,2021
45991,45991,46323,Opel,Combo,Gasoline,Automatic,131.0,2021
45992,45992,46324,Hyundai,Kona,Electric/Gasoline,Automatic,141.0,2021
45993,45993,46325,Jaguar,E-Pace,Diesel,Automatic,204.0,2021
45994,45994,46327,Land,Rover Defender,Diesel,Automatic,200.0,2021
45995,45995,46328,Volkswagen,T6 Multivan,Diesel,Automatic,204.0,2021
45998,45998,46331,Aston,Martin V8,Gasoline,Automatic,510.0,2021
45999,45999,46332,Land,Rover Range Rover,Gasoline,Automatic,566.0,2021
46000,46000,46333,Aston,Martin DB11,Gasoline,Automatic,639.0,2021
46001,46001,46334,DFSK,Glory 580,Gasoline,Automatic,145.0,2021
46011,46011,46345,Mercedes-Benz,GLC 300,Gasoline,Automatic,258.0,2021
46012,46012,46346,Volvo,XC60,Electric/Gasoline,Automatic,341.0,2021
46013,46013,46347,BMW,X3 M,Diesel,Automatic,340.0,2021
46014,46014,46348,BMW,340,Gasoline,Automatic,374.0,2021
46015,46015,46349,Mercedes-Benz,GLE 350,Diesel,Automatic,272.0,2021
46016,46016,46350,Mercedes-Benz,V 300,Diesel,Automatic,237.0,2021
46017,46017,46351,Mercedes-Benz,GLE 400,Diesel,Automatic,330.0,2021
46018,46018,46352,Alpina,B3,Gasoline,Automatic,462.0,2021
46019,46019,46353,Jaguar,F-Type,Gasoline,Automatic,575.0,2021
46022,46022,46356,Toyota,Aygo,Gasoline,Manual,72.0,2021
46023,46023,46357,Suzuki,Ignis,Gasoline,Manual,83.0,2021
46027,46027,46361,Mazda,2,Gasoline,Manual,90.0,2021
46028,46028,46362,Nissan,NV250,Diesel,Manual,116.0,2021
46029,46029,46363,Nissan,Micra,Gasoline,Automatic,92.0,2021
46030,46030,46364,Kia,Ceed / cee'd,Gasoline,Manual,120.0,2021
46032,46032,46366,Volkswagen,Passat Variant,Gasoline,Automatic,150.0,2021
46034,46034,46368,Mazda,6,Gasoline,Manual,165.0,2021
46035,46035,46369,Mazda,CX-5,Gasoline,Automatic,194.0,2021
46036,46036,46370,Skoda,Octavia,Gasoline,Automatic,110.0,2021
46038,46038,46372,Peugeot,3008,Gasoline,Automatic,181.0,2021
46039,46039,46373,Skoda,Scala,Gasoline,Automatic,150.0,2021
46040,46040,46374,Nissan,X-Trail,Gasoline,Automatic,159.0,2021
46042,46042,46376,Renault,Grand Scenic,Gasoline,Manual,158.0,2021
46043,46043,46377,Volkswagen,Golf,Diesel,Automatic,150.0,2021
46044,46044,46378,Audi,A3,Gasoline,Automatic,150.0,2021
46045,46045,46379,Renault,Kadjar,Gasoline,Manual,158.0,2021
46046,46046,46380,Citroen,C5 Aircross,Electric/Gasoline,Automatic,224.0,2021
46047,46047,46381,Volkswagen,T-Cross,Gasoline,Automatic,150.0,2021
46048,46048,46382,Audi,Q2,Gasoline,Automatic,150.0,2021
46049,46049,46383,Mitsubishi,Outlander,Electric/Gasoline,Automatic,224.0,2021
46050,46050,46384,Nissan,NV300,Diesel,Automatic,170.0,2021
46056,46056,46390,Peugeot,108,Gasoline,Manual,72.0,2021
46057,46057,46391,Mitsubishi,Space Star,Gasoline,Manual,71.0,2021
46061,46061,46395,Citroen,C1,Gasoline,Manual,72.0,2021
46064,46064,46398,Fiat,Panda,Electric/Gasoline,Manual,69.0,2021
46065,46065,46399,Skoda,Fabia,Gasoline,Manual,60.0,2021
46070,46070,46404,Fiat,500,Electric/Gasoline,Manual,71.0,2021
