make,model,fuel,gear,hp,year
Citroen,C3 Aircross,Gasoline,Manual,110.0,2019
Renault,Master,Diesel,Manual,145.0,2019
Lexus,CT 200h,Electric/Gasoline,Automatic,136.0,2019
BMW,230,Gasoline,Automatic,252.0,2019
Kia,Optima,Electric/Gasoline,Automatic,205.0,2019
BMW,525,Diesel,Automatic,231.0,2019
Volvo,S60,Gasoline,Automatic,249.0,2019
Subaru,Levorg,Gasoline,Automatic,170.0,2019
Volvo,V40,Gasoline,Automatic,152.0,2019
Porsche,991,Gasoline,Automatic,450.0,2019
Kia,Stonic,Gasoline,Automatic,120.0,2019
Jeep,Cherokee,Diesel,Automatic,194.0,2019
Land,Rover Discovery Sport,Gasoline,Automatic,241.0,2019
Mercedes-Benz,GLC 250,Gasoline,Automatic,211.0,2019
Mercedes-Benz,B 180,Diesel,Automatic,116.0,2019
Toyota,Hilux,Diesel,Automatic,150.0,2019
Audi,Q7,Diesel,Automatic,286.0,2019
Ford,C-Max,Gasoline,Manual,125.0,2019
Tesla,Model 3,Electric,Automatic,487.0,2019
Jaguar,XJ,Diesel,Automatic,300.0,2019
Land,Rover Range Rover Velar,Diesel,Automatic,300.0,2019
Toyota,RAV 4,Gasoline,Automatic,218.0,2019
Volkswagen,T6 Caravelle,Diesel,Automatic,150.0,2020
Volkswagen,Golf Plus,Gasoline,Automatic,300.0,2020
Volkswagen,ID.3,Electric,Automatic,204.0,2020
Suzuki,Across,Electric/Gasoline,Automatic,185.0,2020
Citroen,Grand C4 SpaceTourer,Diesel,Automatic,131.0,2020
Jeep,Grand Cherokee,Diesel,Automatic,250.0,2020
Audi,A7,Diesel,Automatic,286.0,2020
Volkswagen,Passat Alltrack,Diesel,Automatic,190.0,2020
Kia,Stinger,Gasoline,Automatic,366.0,2020
Ford,Edge,Diesel,Automatic,238.0,2020
BMW,630,Diesel,Automatic,265.0,2020
Volkswagen,T6.1 California,Diesel,Automatic,199.0,2020
Bentley,Continental,Gasoline,Automatic,549.0,2020
Audi,RS3,Gasoline,Automatic,400.0,2020
Mercedes-Benz,S 350,Diesel,Automatic,286.0,2020
Audi,SQ5,Diesel,Automatic,347.0,2020
Audi,RS4,Gasoline,Automatic,450.0,2020
Mercedes-Benz,S 560,Gasoline,Automatic,469.0,2020
Audi,RS5,Gasoline,Automatic,450.0,2020
Bentley,Bentayga,Gasoline,Automatic,635.0,2020
Honda,e,Electric,Automatic,154.0,2020
Volvo,S90,Diesel,Automatic,190.0,2020
Jaguar,XE,Gasoline,Automatic,250.0,2020
Volvo,V60 Cross Country,Gasoline,Automatic,250.0,2020
Jaguar,F-Pace,Diesel,Automatic,300.0,2020
Land,Rover Range Rover Sport,Gasoline,Automatic,575.0,2020
Skoda,Citigo,Electric,Automatic,83.0,2020
MINI,Cooper S,Gasoline,Automatic,192.0,2020
Mercedes-Benz,GLA 250,Gasoline,Automatic,211.0,2020
Mercedes-Benz,CLA 200,Gasoline,Automatic,163.0,2020
BMW,220,Diesel,Automatic,190.0,2020
Chevrolet,Camaro,Gasoline,Manual,461.0,2020
BMW,135,Gasoline,Automatic,306.0,2020
Mercedes-Benz,CLA 220,Diesel,Automatic,190.0,2020
BMW,330,Diesel,Automatic,265.0,2020
BMW,X2 M,Gasoline,Automatic,306.0,2020
Land,Rover Range Rover Evoque,Diesel,Automatic,179.0,2020
BMW,240,Gasoline,Automatic,340.0,2020
Mercedes-Benz,A 180,Gasoline,Manual,136.0,2020
Volkswagen,Passat,Gasoline,Automatic,150.0,2020
Mercedes-Benz,GLA 200,Gasoline,Automatic,156.0,2020
SEAT,Alhambra,Diesel,Automatic,150.0,2020
BMW,120,Diesel,Automatic,190.0,2020
Volkswagen,Golf GTI,Gasoline,Automatic,245.0,2020
Mercedes-Benz,B 220,Gasoline,Automatic,190.0,2020
BMW,235,Gasoline,Automatic,306.0,2020
BMW,Z4,Gasoline,Automatic,258.0,2020
BMW,X3,Diesel,Automatic,190.0,2020
Mercedes-Benz,C 300,Electric/Diesel,Automatic,194.0,2020
Mercedes-Benz,V 220,Diesel,Automatic,163.0,2020
Mercedes-Benz,C 400,Gasoline,Automatic,333.0,2020
BMW,M2,Gasoline,Automatic,411.0,2020
Mercedes-Benz,CLA 180,Gasoline,Automatic,136.0,2020
BMW,530,Diesel,Automatic,286.0,2020
Mercedes-Benz,V 250,Diesel,Automatic,190.0,2020
Mercedes-Benz,E 400,Diesel,Automatic,330.0,2020
BMW,730,Diesel,Automatic,265.0,2020
Volvo,V90 Cross Country,Diesel,Automatic,235.0,2020
BMW,X5,Diesel,Automatic,286.0,2020
BMW,X4 M,Gasoline,Automatic,510.0,2020
Citroen,C4 Cactus,Gasoline,Automatic,131.0,2020
Dacia,Lodgy,Gasoline,Manual,131.0,2020
Peugeot,308,Gasoline,Manual,110.0,2020
Ford,Tourneo Courier,Diesel,Manual,101.0,2020
MINI,Cooper Cabrio,Gasoline,Manual,136.0,2020
BMW,X2,Gasoline,Manual,140.0,2020
Mercedes-Benz,Citan,Diesel,Manual,116.0,2020
Honda,Civic,Gasoline,Manual,182.0,2020
Honda,Jazz,Electric/Gasoline,Automatic,98.0,2020
BMW,218,Diesel,Automatic,150.0,2020
Opel,Crossland,Gasoline,Manual,110.0,2020
smart,forFour,Electric,Automatic,82.0,2020
Opel,Astra,Diesel,Manual,122.0,2020
Alfa,Romeo Giulietta,Diesel,Manual,120.0,2020
Fiat,Talento,Diesel,Manual,120.0,2020
BMW,118,Gasoline,Automatic,140.0,2020
Volkswagen,Golf Sportsvan,Diesel,Automatic,150.0,2020
BMW,318,Diesel,Automatic,150.0,2020
Citroen,Grand C4 Picasso,Gasoline,Manual,131.0,2020
smart,forTwo,Electric,Automatic,82.0,2020
SEAT,Leon,Gasoline,Manual,150.0,2020
Kia,ProCeed / pro_cee'd,Diesel,Automatic,136.0,2020
Ford,Galaxy,Gasoline,Manual,165.0,2020
BMW,320,Gasoline,Automatic,184.0,2020
Volkswagen,Crafter,Diesel,Manual,177.0,2020
Volvo,V60,Gasoline,Automatic,250.0,2020
Volkswagen,Touran,Diesel,Automatic,150.0,2020
BMW,520,Diesel,Automatic,190.0,2020
BMW,420,Diesel,Automatic,190.0,2020
Honda,CR-V,Gasoline,Automatic,193.0,2020
Mazda,MX-30,Electric,Automatic,145.0,2021
Nissan,Leaf,Electric,Automatic,218.0,2021
Opel,Mokka-E,Electric,Automatic,77.0,2021
Toyota,C-HR,Electric/Gasoline,Automatic,152.0,2021
Opel,Vivaro,Diesel,Automatic,144.0,2021
Toyota,Corolla,Electric/Gasoline,Automatic,152.0,2021
Nissan,Navara,Diesel,Automatic,190.0,2021
Toyota,Supra,Gasoline,Automatic,258.0,2021
Volkswagen,T6 California,Diesel,Automatic,150.0,2021
Mercedes-Benz,GLE 63 AMG,Gasoline,Automatic,612.0,2021
Mercedes-Benz,GLS 600,Gasoline,Automatic,557.0,2021
Peugeot,Rifter,Diesel,Automatic,131.0,2021
Peugeot,2008,Diesel,Automatic,131.0,2021
Skoda,Enyaq,Electric,Automatic,179.0,2021
Mitsubishi,Eclipse Cross,Electric/Gasoline,Automatic,188.0,2021
Mercedes-Benz,C 200,Gasoline,Automatic,184.0,2021
Mercedes-Benz,B 200,Gasoline,Automatic,163.0,2021
Ford,Transit,Diesel,Automatic,185.0,2021
Ford,Tourneo Custom,Diesel,Automatic,185.0,2021
Mercedes-Benz,A 200,Diesel,Automatic,150.0,2021
Mercedes-Benz,GLB 200,Diesel,Automatic,150.0,2021
Mercedes-Benz,A 220,Diesel,Automatic,190.0,2021
Volkswagen,Golf Variant,Diesel,Automatic,150.0,2021
Peugeot,Traveller,Electric,Automatic,136.0,2021
Volkswagen,Sharan,Gasoline,Automatic,150.0,2021
Peugeot,508,Diesel,Automatic,131.0,2021
Cadillac,XT4,Gasoline,Automatic,230.0,2021
Peugeot,5008,Gasoline,Automatic,181.0,2021
Mercedes-Benz,C 220,Diesel,Automatic,194.0,2021
Toyota,Yaris,Gasoline,Manual,125.0,2021
Opel,Karl,Gasoline,Manual,73.0,2021
Volkswagen,up!,Gasoline,Manual,65.0,2021
Citroen,Spacetourer,Electric,Automatic,136.0,2021
Mercedes-Benz,E 200,Gasoline,Automatic,197.0,2021
Mercedes-Benz,GLB 220,Diesel,Automatic,190.0,2021
Mercedes-Benz,Vito,Diesel,Automatic,237.0,2021
Ford,Transit Custom,Diesel,Automatic,185.0,2021
Ford,Explorer,Gasoline,Automatic,400.0,2021
Audi,RS,Gasoline,Automatic,400.0,2021
Mercedes-Benz,E 450,Gasoline,Automatic,367.0,2021
Renault,Alpine A110,Gasoline,Automatic,292.0,2021
Ford,F 150,Gasoline,Automatic,405.0,2021
BMW,540,Gasoline,Automatic,340.0,2021
Porsche,Boxster,Gasoline,Automatic,299.0,2021
Audi,A6 allroad,Diesel,Automatic,344.0,2021
Mercedes-Benz,EQV 300,Electric,Automatic,204.0,2021
Mercedes-Benz,S 450,Gasoline,Automatic,367.0,2021
Porsche,Cayman,Gasoline,Manual,400.0,2021
Dodge,RAM,Electric/Gasoline,Automatic,401.0,2021
Mercedes-Benz,C 63 AMG,Gasoline,Automatic,510.0,2021
Mercedes-Benz,AMG GT,Gasoline,Automatic,367.0,2021
Mercedes-Benz,GLS 400,Diesel,Automatic,330.0,2021
Mercedes-Benz,S 400,Diesel,Automatic,330.0,2021
Fiat,New Panda,Gasoline,Manual,69.0,2021
Porsche,Cayenne,Gasoline,Automatic,460.0,2021
Mercedes-Benz,S 260,Diesel,Automatic,330.0,2021
Porsche,992,Gasoline,Automatic,581.0,2021
Fiat,Tipo,Gasoline,Manual,101.0,2021
MINI,One,Gasoline,Automatic,102.0,2021
Suzuki,SX4 S-Cross,Electric/Gasoline,Automatic,129.0,2021
Audi,A1,Gasoline,Automatic,110.0,2021
Suzuki,Vitara,Electric/Gasoline,Automatic,129.0,2021
Ford,Transit Courier,Gasoline,Manual,101.0,2021
Renault,Twingo,Gasoline,Manual,65.0,2021
Fiat,500C,Gasoline,Manual,71.0,2021
Kia,Rio,Gasoline,Manual,84.0,2021
Suzuki,Swift,Electric/Gasoline,Manual,83.0,2021
Dacia,Sandero,Gasoline,Manual,91.0,2021
Hyundai,i10,Gasoline,Manual,67.0,2021
Fiat,500X,Gasoline,Automatic,150.0,2021
BMW,116,Gasoline,Automatic,109.0,2021
MINI,Cooper SE,Electric/Gasoline,Automatic,220.0,2021
BMW,i3,Electric,Automatic,102.0,2021
Kia,Picanto,Gasoline,Manual,101.0,2021
Opel,Crossland X,Gasoline,Manual,83.0,2021
Citroen,C3,Gasoline,Automatic,110.0,2021
Ford,Transit Connect,Gasoline,Manual,101.0,2021
Dacia,Duster,Gasoline,Manual,131.0,2021
Renault,Kangoo,Diesel,Manual,116.0,2021
Fiat,Doblo,Diesel,Manual,105.0,2021
Abarth,595 Turismo,Gasoline,Manual,165.0,2021
SEAT,Arona,Gasoline,Automatic,150.0,2021
Nissan,Juke,Gasoline,Manual,114.0,2021
Mazda,CX-3,Gasoline,Automatic,121.0,2021
Mazda,3,Gasoline,Automatic,122.0,2021
Ford,EcoSport,Gasoline,Manual,125.0,2021
Opel,Insignia,Diesel,Automatic,122.0,2021
Kia,Ceed SW / cee'd SW,Gasoline,Automatic,160.0,2021
Hyundai,i30,Gasoline,Manual,120.0,2021
Abarth,595,Gasoline,Manual,179.0,2021
Jeep,Renegade,Gasoline,Manual,120.0,2021
Kia,XCeed,Electric/Diesel,Manual,136.0,2021
Renault,Clio,Electric/Gasoline,Automatic,140.0,2021
Suzuki,Swace,Electric/Gasoline,Automatic,98.0,2021
Hyundai,i20,Gasoline,Automatic,120.0,2021
SEAT,Ibiza,Gasoline,Automatic,110.0,2021
Skoda,Kamiq,CNG,Manual,90.0,2021
Hyundai,Kona Elektro,Electric,Automatic,136.0,2021
Abarth,695,Gasoline,Manual,179.0,2021
Kia,Niro,Electric/Gasoline,Automatic,141.0,2021
Kia,e-Niro,Electric,Automatic,204.0,2021
Ford,Mondeo,Diesel,Automatic,190.0,2021
Opel,Grandland X,Diesel,Automatic,131.0,2021
Renault,ZOE,Electric,Automatic,69.0,2021
Renault,Scenic,Gasoline,Automatic,140.0,2021
Citroen,Berlingo,Gasoline,Automatic,131.0,2021
Nissan,Qashqai,Gasoline,Automatic,159.0,2021
Mitsubishi,ASX,Gasoline,Automatic,150.0,2021
Renault,Captur,Gasoline,Automatic,154.0,2021
Volkswagen,Polo,Gasoline,Automatic,150.0,2021
Volkswagen,T6 Kombi,Diesel,Manual,110.0,2021
Volvo,XC40,Gasoline,Automatic,163.0,2021
Kia,Sportage,Diesel,Automatic,185.0,2021
Jeep,Compass,Electric/Gasoline,Automatic,189.0,2021
SEAT,Tarraco,Electric/Gasoline,Automatic,150.0,2021
Skoda,Kodiaq,Diesel,Automatic,150.0,2021
Ford,Puma,Gasoline,Manual,200.0,2021
Renault,Megane,Electric/Gasoline,Automatic,158.0,2021
Opel,Zafira Life,Diesel,Automatic,177.0,2021
Renault,Talisman,Gasoline,Automatic,224.0,2021
Renault,Koleos,Gasoline,Automatic,158.0,2021
Ford,S-Max,Electric/Gasoline,Automatic,190.0,2021
Ford,Kuga,Electric/Gasoline,Automatic,152.0,2021
Ford,Ranger,Diesel,Automatic,212.0,2021
Alfa,Romeo Stelvio,Gasoline,Automatic,280.0,2021
Ford,Mustang,Gasoline,Automatic,450.0,2021
Volvo,V90,Diesel,Automatic,190.0,2021
Jeep,Gladiator,Diesel,Automatic,264.0,2021
Jeep,Wrangler,Electric/Gasoline,Automatic,381.0,2021
Audi,S5,Diesel,Automatic,347.0,2021
Audi,A6,Diesel,Automatic,286.0,2021
Audi,A5,Diesel,Automatic,286.0,2021
Renault,Espace,Gasoline,Automatic,224.0,2021
Volkswagen,Tiguan,Electric/Gasoline,Automatic,150.0,2021
Audi,Q5,Diesel,Automatic,204.0,2021
Mercedes-Benz,E 300,Gasoline,Automatic,258.0,2021
DS,Automobiles DS 7 Crossback,Electric/Gasoline,Automatic,299.0,2021
Audi,S3,Gasoline,Automatic,310.0,2021
Audi,TT,Gasoline,Automatic,245.0,2021
Volvo,XC90,Diesel,Automatic,235.0,2021
Audi,Q3,Diesel,Automatic,200.0,2021
Audi,A4,Diesel,Automatic,204.0,2021
Alpine,A110,Gasoline,Manual,292.0,2021
Peugeot,208,Gasoline,Automatic,131.0,2021
Opel,Mokka,Gasoline,Automatic,131.0,2021
Peugeot,Expert,Diesel,Automatic,122.0,2021
Volkswagen,T-Roc,Gasoline,Automatic,150.0,2021
Mazda,CX-30,Gasoline,Automatic,186.0,2021
Cupra,Formentor,Gasoline,Manual,150.0,2021
Porsche,Macan,Gasoline,Automatic,441.0,2021
Audi,e-tron,Electric,Automatic,476.0,2021
Porsche,Taycan,Electric,Automatic,571.0,2021
Audi,S8,Gasoline,Automatic,700.0,2021
Porsche,Panamera,Electric/Gasoline,Automatic,560.0,2021
Aston,Martin DBX,Gasoline,Automatic,551.0,2021
Ford,Fiesta,Gasoline,Manual,95.0,2021
Ford,Focus,Gasoline,Automatic,150.0,2021
Ford,Grand Tourneo,Diesel,Automatic,120.0,2021
Volkswagen,Caddy,Diesel,Automatic,122.0,2021
Volkswagen,Touareg,Electric/Gasoline,Automatic,340.0,2021
Alfa,Romeo Giulia,Gasoline,Automatic,510.0,2021
Audi,S6,Diesel,Automatic,349.0,2021
BMW,M4,Gasoline,Automatic,510.0,2021
Bentley,Flying Spur,Gasoline,Automatic,549.0,2021
Fiat,500L,Gasoline,Manual,95.0,2021
Abarth,595C,Gasoline,Automatic,165.0,2021
Mercedes-Benz,C 180,Diesel,Automatic,156.0,2021
BMW,X1,Gasoline,Automatic,192.0,2021
Mercedes-Benz,GLA 180,Diesel,Automatic,116.0,2021
Mercedes-Benz,CLA 250,Gasoline,Automatic,224.0,2021
Mercedes-Benz,E 220,Diesel,Automatic,194.0,2021
Mercedes-Benz,A 250,Gasoline,Automatic,224.0,2021
Hyundai,Santa Fe,Electric/Gasoline,Automatic,265.0,2021
Mercedes-Benz,SLC 300,Gasoline,Automatic,245.0,2021
Mercedes-Benz,Sprinter,Diesel,Automatic,190.0,2021
Volkswagen,Arteon,Diesel,Automatic,200.0,2021
SEAT,Ateca,Gasoline,Manual,150.0,2021
Renault,Trafic,Diesel,Manual,145.0,2021
Opel,Corsa,Electric,Automatic,136.0,2021
Hyundai,Ioniq,Electric,Manual,136.0,2021
Hyundai,Tucson,Gasoline,Manual,179.0,2021
Skoda,Karoq,Gasoline,Automatic,150.0,2021
Ford,Tourneo Connect,Diesel,Automatic,120.0,2021
Renault,Arkana,Gasoline,Manual,140.0,2021
Skoda,Superb,Gasoline,Automatic,150.0,2021
Mazda,MX-5,Gasoline,Manual,184.0,2021
Citroen,C4,Gasoline,Automatic,155.0,2021
Opel,Combo,Gasoline,Automatic,131.0,2021
Hyundai,Kona,Electric/Gasoline,Automatic,141.0,2021
Jaguar,E-Pace,Diesel,Automatic,204.0,2021
Land,Rover Defender,Diesel,Automatic,200.0,2021
Volkswagen,T6 Multivan,Diesel,Automatic,204.0,2021
Aston,Martin V8,Gasoline,Automatic,510.0,2021
Land,Rover Range Rover,Gasoline,Automatic,566.0,2021
Aston,Martin DB11,Gasoline,Automatic,639.0,2021
DFSK,Glory 580,Gasoline,Automatic,145.0,2021
Mercedes-Benz,GLC 300,Gasoline,Automatic,258.0,2021
Volvo,XC60,Electric/Gasoline,Automatic,341.0,2021
BMW,X3 M,Diesel,Automatic,340.0,2021
BMW,340,Gasoline,Automatic,374.0,2021
Mercedes-Benz,GLE 350,Diesel,Automatic,272.0,2021
Mercedes-Benz,V 300,Diesel,Automatic,237.0,2021
Mercedes-Benz,GLE 400,Diesel,Automatic,330.0,2021
Alpina,B3,Gasoline,Automatic,462.0,2021
Jaguar,F-Type,Gasoline,Automatic,575.0,2021
Toyota,Aygo,Gasoline,Manual,72.0,2021
Suzuki,Ignis,Gasoline,Manual,83.0,2021
Mazda,2,Gasoline,Manual,90.0,2021
Nissan,NV250,Diesel,Manual,116.0,2021
Nissan,Micra,Gasoline,Automatic,92.0,2021
Kia,Ceed / cee'd,Gasoline,Manual,120.0,2021
Volkswagen,Passat Variant,Gasoline,Automatic,150.0,2021
Mazda,6,Gasoline,Manual,165.0,2021
Mazda,CX-5,Gasoline,Automatic,194.0,2021
Skoda,Octavia,Gasoline,Automatic,110.0,2021
Peugeot,3008,Gasoline,Automatic,181.0,2021
Skoda,Scala,Gasoline,Automatic,150.0,2021
Nissan,X-Trail,Gasoline,Automatic,159.0,2021
Renault,Grand Scenic,Gasoline,Manual,158.0,2021
Volkswagen,Golf,Diesel,Automatic,150.0,2021
Audi,A3,Gasoline,Automatic,150.0,2021
Renault,Kadjar,Gasoline,Manual,158.0,2021
Citroen,C5 Aircross,Electric/Gasoline,Automatic,224.0,2021
Volkswagen,T-Cross,Gasoline,Automatic,150.0,2021
Audi,Q2,Gasoline,Automatic,150.0,2021
Mitsubishi,Outlander,Electric/Gasoline,Automatic,224.0,2021
Nissan,NV300,Diesel,Automatic,170.0,2021
Peugeot,108,Gasoline,Manual,72.0,2021
Mitsubishi,Space Star,Gasoline,Manual,71.0,2021
Citroen,C1,Gasoline,Manual,72.0,2021
Fiat,Panda,Electric/Gasoline,Manual,69.0,2021
Skoda,Fabia,Gasoline,Manual,60.0,2021
Fiat,500,Electric/Gasoline,Manual,71.0,2021
