make,model,fuel,gear,hp,year
Lexus,ES 300,Electric/Gasoline,Automatic,218.0,2021
Renault,Alaskan,Diesel,Automatic,190.0,2021
Volkswagen,T5 California,Diesel,Manual,140.0,2015
Nissan,NP300,Diesel,Automatic,190.0,2021
Daihatsu,Charade,Gasoline,Manual,99.0,2012
smart,city-coupé/city-cabrio,Gasoline,Automatic,71.0,2014
Audi,SQ8,Diesel,Automatic,435.0,2019
Nissan,Primastar,Diesel,Manual,90.0,2012
Fiat,Fullback,Diesel,Automatic,181.0,2018
MINI,Cooper SD Cabrio,Diesel,Automatic,143.0,2015
Dodge,Viper,Gasoline,Manual,649.0,2016
McLaren,675LT,Gasoline,Automatic,674.0,2016
Audi,S1,Gasoline,Manual,231.0,2018
Daihatsu,Terios,Gasoline,Manual,105.0,2011
Peugeot,RCZ,Gasoline,Manual,156.0,2011
Volkswagen,T6.1 Transporter,Diesel,Manual,90.0,2021
Volkswagen,New Beetle,Gasoline,Manual,105.0,2018
Mitsubishi,Eclipse,Gasoline,Automatic,163.0,2019
Mercedes-Benz,EQC 400,Electric,Automatic,408.0,2021
Mercedes-Benz,S 600,Gasoline,Automatic,530.0,2015
Abarth,595 Competizione,Gasoline,Manual,179.0,2019
Mercedes-Benz,E 43 AMG,Gasoline,Automatic,401.0,2017
Citroen,C4 SpaceTourer,Diesel,Manual,131.0,2018
Lancia,MUSA,Gasoline,Manual,95.0,2012
BMW,840,Diesel,Automatic,320.0,2019
BMW,X7,Gasoline,Automatic,530.0,2019
Lexus,LC 500,Gasoline,Automatic,464.0,2021
Lexus,LS 500,Electric/Gasoline,Automatic,359.0,2021
Mercedes-Benz,SLC 250,Diesel,Automatic,204.0,2016
Citroen,C8,Diesel,Manual,136.0,2011
Audi,RS Q8,Gasoline,Automatic,740.0,2021
Lada,Taiga,Gasoline,Manual,83.0,2014
Toyota,Proace,Diesel,Automatic,177.0,2019
Mercedes-Benz,GLC 200,Diesel,Automatic,163.0,2020
Lexus,NX 300,Electric/Gasoline,Automatic,197.0,2017
Volkswagen,Transporter,Diesel,Manual,84.0,2016
SsangYong,XLV,Diesel,Manual,116.0,2017
Toyota,Camry,Electric/Gasoline,Automatic,218.0,2020
Lexus,UX 250h,Electric/Gasoline,Automatic,184.0,2020
