make_numerico,model,fuel,gear,hp,year
10,EQC 400,Electric,Automatic,408.0,2021
10,S 600,Gasoline,Automatic,530.0,2015
52,595 Competizione,Gasoline,Manual,179.0,2019
10,E 43 AMG,Gasoline,Automatic,401.0,2017
19,C4 SpaceTourer,Diesel,Manual,131.0,2018
51,MUSA,Gasoline,Manual,95.0,2012
1,840,Diesel,Automatic,320.0,2019
1,X7,Gasoline,Automatic,530.0,2019
33,LC 500,Gasoline,Automatic,464.0,2021
33,LS 500,Electric/Gasoline,Automatic,359.0,2021
10,SLC 250,Diesel,Automatic,204.0,2016
19,C8,Diesel,Manual,136.0,2011
12,RS Q8,Gasoline,Automatic,740.0,2021
30,Taiga,Gasoline,Manual,83.0,2014
6,Proace,Diesel,Automatic,177.0,2019
10,GLC 200,Diesel,Automatic,163.0,2020
33,NX 300,Electric/Gasoline,Automatic,197.0,2017
2,Transporter,Diesel,Manual,84.0,2016
22,XLV,Diesel,Manual,116.0,2017
6,Camry,Electric/Gasoline,Automatic,218.0,2020
33,UX 250h,Electric/Gasoline,Automatic,184.0,2020
33,LX 570,Gasoline,Automatic,367.0,2021
12,R8,Gasoline,Automatic,610.0,2018
12,Q8,Diesel,Automatic,286.0,2019
42,Urus,Gasoline,Automatic,650.0,2019
6,Highlander,Others,Automatic,247.0,2021
9,Transit Bus,Diesel,Manual,101.0,2011
20,Q60,Gasoline,Automatic,405.0,2017
22,REXTON,Diesel,Automatic,201.0,2021
16,Cooper D Clubman,Diesel,Manual,111.0,2014
33,RX 450h,Electric/Gasoline,Automatic,313.0,2019
10,GLB 180,Gasoline,Automatic,136.0,2021
17,Grand Santa Fe,Diesel,Automatic,200.0,2017
1,140,Gasoline,Automatic,340.0,2018
10,CLS 250,Diesel,Automatic,204.0,2016
53,Automobiles DS 3 Crossback,Electric,Automatic,136.0,2020
2,ID.4,Electric,Automatic,204.0,2021
16,One Countryman,Gasoline,Manual,102.0,2018
6,Land Cruiser,Gasoline,Automatic,339.0,2017
2,Polo Cross,Gasoline,Manual,105.0,2011
29,CR-Z,Electric/Gasoline,Manual,114.0,2011
4,Latitude,Diesel,Automatic,241.0,2011
2,Cross Touran,Diesel,Manual,105.0,2011
9,Fusion,Gasoline,Manual,101.0,2011
21,Kizashi,Gasoline,Manual,178.0,2011
1,123,Diesel,Manual,204.0,2011
21,Grand Vitara,Gasoline,Automatic,169.0,2011
25,C30,Diesel,Manual,114.0,2011
25,S40,Diesel,Manual,150.0,2011
17,Getz,Gasoline,Manual,67.0,2011
36,Mulsanne,Gasoline,Automatic,513.0,2011
66,Daily,Diesel,Manual,126.0,2011
20,EX30,Diesel,Automatic,238.0,2011
8,CX-7,Diesel,Manual,173.0,2011
23,brabus,Gasoline,Automatic,102.0,2011
29,Insight,Electric/Gasoline,Automatic,98.0,2011
14,Carnival,Diesel,Manual,150.0,2011
10,ML 300,Diesel,Automatic,204.0,2011
2,Fox,Gasoline,Manual,60.0,2011
54,Sirion,Gasoline,Manual,91.0,2011
31,I-MiEV,Electric,Automatic,48.0,2011
25,V50,Diesel,Manual,114.0,2011
39,Trezia,Diesel,Automatic,90.0,2012
2,Eos,Gasoline,Manual,122.0,2012
16,Cooper S Coupe,Gasoline,Manual,184.0,2012
4,Modus,Gasoline,Manual,75.0,2012
3,Exeo,Diesel,Manual,143.0,2012
3,Altea XL,Gasoline,Manual,105.0,2012
16,One Cabrio,Gasoline,Manual,98.0,2012
10,R 300,Diesel,Automatic,190.0,2012
16,Cooper SD Clubman,Diesel,Manual,143.0,2012
2,Jetta,Diesel,Manual,105.0,2012
11,Malibu,Diesel,Manual,160.0,2012
19,C-Zero,Electric,Automatic,48.0,2012
39,Legacy,Diesel,Manual,150.0,2012
16,Cooper S Paceman,Gasoline,Manual,184.0,2012
28,Pathfinder,Diesel,Manual,190.0,2012
1,523,Gasoline,Manual,204.0,2012
47,MP4-12C,Gasoline,Automatic,625.0,2012
11,Volt,Electric/Gasoline,Automatic,151.0,2012
13,Grande Punto,Gasoline,Manual,69.0,2012
16,One D Countryman,Diesel,Manual,90.0,2012
16,Cooper SD Countryman,Diesel,Manual,143.0,2012
17,Veloster,Gasoline,Manual,140.0,2012
10,GLK 250,Diesel,Automatic,204.0,2012
10,R 350,Diesel,Automatic,265.0,2012
4,Grand Espace,Diesel,Automatic,173.0,2012
12,S4,Gasoline,Automatic,333.0,2012
21,Alto,Gasoline,Manual,68.0,2012
4,Wind,Gasoline,Manual,102.0,2012
1,328,Gasoline,Manual,245.0,2012
5,206,Gasoline,Manual,60.0,2012
4,Grand Modus,Diesel,Manual,88.0,2012
5,807,Diesel,Manual,136.0,2012
38,Romeo 159,Diesel,Manual,170.0,2012
13,Sedici,Gasoline,Automatic,120.0,2012
16,Cooper D Cabrio,Diesel,Manual,111.0,2012
19,C4 Aircross,Diesel,Manual,114.0,2013
10,A 160,Gasoline,Automatic,95.0,2013
10,C 350,Diesel,Automatic,265.0,2013
16,Cooper Coupe,Gasoline,Manual,122.0,2013
51,Delta,Gasoline,Manual,140.0,2013
10,250,Gasoline,Automatic,204.0,2013
28,Murano,Diesel,Automatic,190.0,2013
28,Qashqai+2,Diesel,Manual,131.0,2013
74,D-Max,Diesel,Manual,163.0,2013
1,428,Gasoline,Manual,245.0,2013
37,Rover Freelander,Diesel,Manual,150.0,2013
10,SLS,Gasoline,Automatic,571.0,2013
16,Cooper Roadster,Gasoline,Manual,122.0,2013
10,E 500,Gasoline,Automatic,408.0,2013
11,Spark,Gasoline,Manual,82.0,2013
28,Pixo,Gasoline,Automatic,68.0,2013
11,Trax,Gasoline,Manual,116.0,2013
10,SLK 200,Gasoline,Manual,184.0,2013
10,Viano,Diesel,Automatic,224.0,2013
1,535,Diesel,Automatic,313.0,2013
10,GLK 350,Diesel,Automatic,265.0,2013
11,Aveo,Diesel,Manual,75.0,2013
72,ATS,Gasoline,Manual,276.0,2013
1,650,Gasoline,Automatic,449.0,2013
5,4008,Diesel,Manual,150.0,2013
56,458,Gasoline,Automatic,570.0,2013
30,Niva,Gasoline,Manual,83.0,2013
18,Praktik,Gasoline,Manual,69.0,2013
7,Agila,Gasoline,Automatic,94.0,2013
11,Captiva,Diesel,Manual,184.0,2013
31,Colt,Gasoline,Manual,75.0,2013
30,Granta,Gasoline,Manual,87.0,2013
6,Verso-S,Gasoline,Automatic,99.0,2014
2,T5 Kombi,Diesel,Manual,102.0,2014
39,Impreza,Gasoline,Manual,114.0,2014
11,Orlando,Diesel,Manual,163.0,2014
8,5,Gasoline,Manual,150.0,2014
16,Cooper D Countryman,Diesel,Manual,111.0,2014
11,Cruze,Gasoline,Manual,140.0,2014
6,Verso,Gasoline,Manual,132.0,2014
6,Avensis,Gasoline,Manual,147.0,2014
58,City,Electric,Automatic,5.0,2014
7,Cascada,Gasoline,Manual,120.0,2014
45,Town & Country,Gasoline,Automatic,287.0,2014
2,Passat CC,Diesel,Automatic,140.0,2014
10,B 250,Gasoline,Automatic,211.0,2014
13,Bravo,Gasoline,Manual,140.0,2014
10,GL 350,Diesel,Automatic,258.0,2014
12,S7,Gasoline,Automatic,420.0,2014
27,911,Gasoline,Automatic,349.0,2014
6,iQ,Gasoline,Manual,68.0,2014
20,Q70,Electric/Gasoline,Automatic,364.0,2014
21,Splash,Gasoline,Manual,94.0,2014
51,Ypsilon,Gasoline,Manual,69.0,2014
